id,img,type,propertyStatus,label,country,title,price,details,home,bed,bath,sqft,rooms,date,video,propertyType,agencies
1,image1.jpg,sale,"For Sale","Luxury Villa","United States","Beautiful Villa in Miami",1000000,"Luxurious villa with ocean view",Miami,4,3,3500,8,"2024-02-29 12:00:00.000",villa1.mp4,Villa,"XYZ Realty"
2,image2.jpg,sale,"For Rent",Apartment,"United Kingdom","Cosy Apartment in London",2000,"Modern apartment in the heart of London",London,2,1,800,4,"2024-02-28 10:00:00.000",apartment2.mp4,LOT,"ABC Properties"
3,image3.jpg,sale,"For Sale",Condo,Canada,"Spacious Condo in Toronto",500000,"City living at its finest",Toronto,3,2,1500,6,"2024-02-27 08:00:00.000",condo3.mp4,office,"DEF Realtors"
4,image4.jpg,sale,"For Rent",House,Australia,"Family House in Sydney",3000,"Ideal for family living",Sydney,4,2,2000,7,"2024-02-26 06:00:00.000",house4.mp4,stores,"GHI Homes"
5,image5.jpg,sale,"For Sale",Townhouse,"New Zealand","Modern Townhouse in Auckland",700000,"Contemporary design with stunning views",Auckland,3,2,1800,5,"2024-02-25 04:00:00.000",townhouse5.mp4,Villa,"JKL Properties"
6,/assets/images/property/7.jpg,rent,"For Rent","no fees",BRAZIL,"Hidden Spring Hideway 1",9554.00,"Real estate market in most countries are not as organize or efficient as markets for other, more liquid investment instruments.","Virtual Home",4,4,1900,4,"2022-07-18 00:00:00.000",/assets/video/video.mp4,commercialbuilding,"Blue Sky"
7,/assets/images/property/6.jpg,sale,"For Sale","open house",BRAZIL,"Hidden Spring Hideway 2",9554.00,"Real estate market in most countries are not as organize or efficient as markets for other, more liquid investment instruments.","Virtual Home",4,4,1900,4,"2022-07-18 00:00:00.000",/assets/video/video.mp4,investmentprojects,"Blue Sky"
8,/assets/images/property/5.jpg,rent,"For Rent","no fees",BRAZIL,"Hidden Spring Hideway 3",9554.00,"Real estate market in most countries are not as organize or efficient as markets for other, more liquid investment instruments.","Virtual Home",4,4,1900,4,"2022-07-18 00:00:00.000",/assets/video/video.mp4,commercialbuilding,"Blue Sky"
9,/assets/images/property/4.jpg,sale,"For Sale","open house",BRAZIL,"Hidden Spring Hideway 4",9554.00,"Real estate market in most countries are not as organize or efficient as markets for other, more liquid investment instruments.","Virtual Home",4,4,1900,4,"2022-07-18 00:00:00.000",/assets/video/video.mp4,stores,"Blue Sky"
10,/assets/images/property/3.jpg,rent,"For Rent","no fees",BRAZIL,"Hidden Spring Hideway 5",9554.00,"Real estate market in most countries are not as organize or efficient as markets for other, more liquid investment instruments.","Virtual Home",4,4,1900,4,"2022-07-18 00:00:00.000",/assets/video/video.mp4,apartment,"Blue Sky"
11,/assets/images/property/2.jpg,sale,"For Sale","open house",BRAZIL,"Hidden Spring Hideway 6",9554.00,"Real estate market in most countries are not as organize or efficient as markets for other, more liquid investment instruments.","Virtual Home",4,4,1900,4,"2022-07-18 00:00:00.000",/assets/video/video.mp4,office,"Blue Sky"
12,/assets/images/property/1.jpg,rent,"For Rent","no fees",BRAZIL,"Hidden Spring Hideway 7",9554.00,"Real estate market in most countries are not as organize or efficient as markets for other, more liquid investment instruments.","Virtual Home",4,4,1900,4,"2022-07-18 00:00:00.000",/assets/video/video.mp4,apartment,"Blue Sky"
13,/assets/images/property/0.jpg,sale,"For Sale","open house",BRAZIL,"Hidden Spring Hideway 8",9554.00,"Real estate market in most countries are not as organize or efficient as markets for other, more liquid investment instruments.","Virtual Home",4,4,1900,4,"2022-07-18 00:00:00.000",/assets/video/video.mp4,farms,"Blue Sky"
14,/assets/images/property/0.jpg,rent,"For Rent","no fees",BRAZIL,"Hidden Spring Hideway 9",9554.00,"Real estate market in most countries are not as organize or efficient as markets for other, more liquid investment instruments.","Virtual Home",4,4,1900,4,"2022-07-18 00:00:00.000",/assets/video/video.mp4,Office,"Blue Sky"
